"code","name"
"14906","Burnside Township"
"14907","Centre Hall Borough"
"14908","Lemont"
"14908","College Township"
"14909","Curtin Township"
"14910","Ferguson Township"
"14910","Pine Grove Mills"
"14911","Gregg Township"
"14911","Spring Mills"
"14912","Aaronsburg"
"14912","Haines Township"
"14913","Halfmoon Township"
"14914","Boalsburg"
"14914","Harris Township"
"14915","Howard Borough"
"14916","Howard Township"
"14917","Huston Township"
"14918","Liberty Township"
"14919","Marion Township"
"14920","Miles Township"
"14920","Rebersburg"
"14921","Milesburg Borough"
"14922","Millheim Borough"
"14923","Patton Township"
"14924","Coburn"
"14924","Penn Township"
"14925","Port Matilda Borough"
"14926","Potter Township"
"14927","Rush Township"
"14928","Snow Shoe Borough"
"14929","Snow Shoe Township"
"14930","South Philipsburg Borough"
"14931","Spring Township"
"14932","Taylor Township"
"14933","Union Township"
"14934","Unionville Borough"
"14935","Walker Township"
"14935","Zion"
"14936","Worth Township"
"15001","Devon"
"15001","Coatesville"
"15002","Phoenixville Borough"
"15003","West Chester Borough"
"15804","Downingtown Borough"
"15805","Kennett Square Borough"
"15806","Paoli"
"15806","Oxford Borough"
"15807","Parkesburg Borough"
"15808","Spring City Borough"
"15909","Atglen Borough"
"15910","Avondale Borough"
"15910","Berwyn"
"15911","Birmingham Township"
"15912","Caln Township"
"15912","Thorndale"
"15913","Charlestown Township"
"15914","East Bradford Township"
"15915","East Brandywine Township"
"15916","East Caln Township"
"15917","East Coventry Township"
"15918","East Fallowfield Township"
"15919","East Goshen Township"
"15920","Unionville"
"15920","East Marlborough Township"
"15921","East Nantmeal Township"
"15922","East Nottingham Township"
"15923","Kimberton"
"15923","East Pikeland Township"
"15924","East Vincent Township"
"15925","Frazer"
"15925","Exton"
"15925","Immaculate"
"15925","East Whiteland Township"
"15926","Easttown Township"
"15927","Elk Township"
"15928","Elverson Borough"
"15929","Franklin Township"
"15930","Highland Township"
"15931","Honey Brook Borough"
"15932","Honeybrook Township"
"15933","Kennett Township"
"15934","London Britain Township"
"15935","London Grove Township"
"15935","Chatham"
"15936","Londonderry Township"
"15937","Lower Oxford Township"
"15938","Malvern Borough"
"15939","Modena Borough"
"15940","New Garden Township"
"15941","New London Township"
"15942","Newlin Township"
"15943","Pottstown Landing"
"15943","North Coventry Township"
"15944","Penn Township"
"15945","Pennsbury Township"
"15946","Pocopson Township"
"15947","Sadsbury Township"
"15948","Valley Forge"
"15948","Schuylkill Township"
"15949","South Coatesville Borough"
"15950","South Coventry Township"
"15951","Thornbury Township"
"15952","Strafford"
"15952","Tredyffrin Township"
"15953","Upper Oxford Township"
"15954","Upper Uwchlan Township"
"15955","Uwchlan Township"
"15956","Valley Township"
"15957","Glenmoore"
"15957","Wallace Township"
"15958","Warwick Township"
"15959","West Bradford Township"
"15960","West Brandywine Township"
"15961","West Caln Township"
"15962","West Fallowfield Township"
"15963","West Goshen Township"
"15964","West Grove Borough"
"15965","West Marlborough Township"
"15966","West Nantmeal Township"
"15967","West Nottingham Township"
"15968","Chester Springs"
"15968","West Pikeland Township"
"15969","West Sadsbury Township"
"15970","West Vincent Township"
"15971","West Whiteland Township"
"15972","Westtown Township"
"15973","Willistown Township"
"16801","Clarion Borough"
"16902","Ashland Township"
"16903","Beaver Township"
"16904","Brady Township"
"16905","Callensburg Borough"
"16906","Clarion Township"
"16907","East Brady Borough"
"16908","Elk Township"
"16909","Crown"
"16909","Farmington Township"
"16910","Foxburg Borough"
"16911","Hawthorne Borough"
"16912","Highland Township"
"16913","Knox Borough"
"16914","Knox Township"
"16915","Licking Township"
"16916","Limestone Township"
"16917","Madison Township"
"16918","Millcreek Township"
"16919","Monroe Township"
"16919","Williamsburg"
"16920","New Bethlehem Borough"
"16921","Paint Township"
"16922","Perry Township"
"16922","Parkers Landing"
"16923","Piney Township"
"16924","Porter Township"
"16925","Redbank Township"
"16925","Mayport"
"16926","Richland Township"
"16927","Rimersburg Borough"
"16928","Salem Township"
"16929","Shippenville Borough"
"16930","Sligo Borough"
"16931","St. Petersburg Borough"
"16932","Strattanville Borough"
"16933","Toby Township"
"16934","Washington Township"
"16934","Lickingville"
"17001","Du Bois"
"17802","Clearfield Borough"
"17803","Curwensville Borough"
"17904","Beccaria Township"
"17905","Bell Township"
"17906","Madera"
"17906","Bigler Township"
"17907","Bloom Township"
"17908","Boggs Township"
"17908","West Decatur"
"17909","Bradford Township"
"17909","Bigler Borough"
"17910","Brady Township"
"17911","Brisbin Borough"
"17912","Burnside Borough"
"17913","Burnside Township"
"17914","Chest Township"
"17915","Chester Hill Borough"
"17916","Coalport Borough"
"17917","Lanse"
"17917","Cooper Township"
"17917","Grassflat"
"17917","Winburne"
"17917","Drifting"
"17918","Covington Township"
"17919","Decatur Township"
"17920","Falls Creek Borough"
"17921","Ferguson Township"
"17922","Girard Township"
"17922","Lecontes Mills"
"17923","Glen Hope Borough"
"17924","Goshen Township"
"17925","Graham Township"
"17926","Grampian Borough"
"17927","Greenwood Township"
"17928","Gulich Township"
"17929","Houtzdale Borough"
"17930","Huston Township"
"17931","Irvona Borough"
"17932","Jordan Township"
"17933","Karthaus Township"
"17934","Knox Township"
"17935","Lawrence Township"
"17936","Lumber City Borough"
"17937","Mahaffey Borough"
"17938","Morris Township"
"17939","New Washington Borough"
"17940","Newburg Borough"
"17941","Osceola Borough"
"17942","Penn Township"
"17943","Pike Township"
"17944","Pine Township"
"17945","Ramey Borough"
"17946","Sandy Township"
"17947","Troutville Borough"
"17948","Rockton"
"17948","Union Township"
"17949","Wallaceton Borough"
"17950","Westover Borough"
"17951","Woodward Township"
"18001","Lock Haven"
"18802","Renovo Borough"
"18903","Allison Township"
"18904","Avis Borough"
"18905","Bald Eagle Township"
"18906","Beech Creek Borough"
"18907","Beech Creek Township"
"18908","Castanea Township"
"18909","Chapman Township"
"18909","North Bend"
"18910","Colebrook Township"
"18911","Crawford Township"
"18912","Dunnstable Township"
"18913","East Keating Township"
"18914","Flemington Borough"
"18915","Gallagher Township"
"18916","Greene Township"
"18917","Grugan Township"
"18918","Lamar Township"
"18919","Tamarack"
"18919","Drury"
"18919","Leidy Township"
"18920","Logan Township"
"18921","Loganton Borough"
"18922","Mill Hall Borough"
"18923","West Renovo"
"18923","Noyes Township"
"18924","Woolrich"
"18924","Pine Creek Township"
"18925","Porter Township"
"18925","Lamar"
"18926","South Renovo Borough"
"18927","McElhattan"
"18927","Wayne Township"
"18928","West Keating Township"
"18929","Woodward Township"
"19001","Berwick Borough"
"19002","Bloomsburg Town Borough"
"19803","Ashland Borough"
"19904","Beaver Township"
"19905","Benton Borough"
"19906","Benton Township"
"19907","Briar Creek Borough"
"19908","Briar Creek Township"
"19908","Evansville"
"19909","Catawissa Borough"
"19910","Catawissa Township"
"19911","Centralia Borough"
"19912","Cleveland Township"
"19913","Conyngham Township"
"19913","Wilburton"
"19914","Fishing Creek Township"
"19915","Franklin Township"
"19916","Greenwood Township"
"19917","Hemlock Township"
"19918","Jackson Township"
"19919","Numidia"
"19919","Locust Township"
"19920","Madison Township"
"19921","Main Township"
"19921","Mainville"
"19922","Mifflin Township"
"19923","Millville Borough"
"19924","Montour Township"
"19925","Mt. Pleasant Township"
"19926","North Centre Township"
"19927","Orange Township"
"19928","Orangeville Borough"
"19929","Pine Township"
"19930","Roaring Creek Township"
"19931","Lightstreet"
"19931","Carroll Park"
"19931","Scott Township"
"19932","South Centre Township"
"19933","Stillwater Borough"
"19934","Sugarloaf Township"
"20001","Meadville"
"20802","Titusville"
